DATE-CUSTOMER_ID,PRODUCT_ID
11/1/2000-1104905,4710199010372
11/1/2000-418683,4710857472535
11/1/2000-1057331,4710043654103
11/1/2000-1849332,4710126092129
11/1/2000-1981995,4710176021445
11/1/2000-1741797,78895770025
11/1/2000-308359,4710192225520
11/1/2000-1607000,4712936888817
11/1/2000-1057331,4715398106864
11/1/2000-236645,4710126091870
11/1/2000-1607000,4711713290201
11/1/2000-768566,4710314491017
11/1/2000-2116334,4710088410207
11/1/2000-1327205,4710154012144
11/1/2000-236645,4710126091849
11/1/2000-1634518,20000102818
11/1/2000-217361,4710583910004
11/1/2000-1004373,4902520162847
11/1/2000-841528,4710734001346
11/1/2000-1034561,8801055190294
11/1/2000-1327205,4710323168054
11/1/2000-1173741,4710054139804
11/1/2000-841528,4712031000060
11/1/2000-2144702,4902181016893
11/1/2000-1733204,4710043004090
11/1/2000-2014883,4710131130311
11/1/2000-841528,4710088424655
11/1/2000-1187366,4714981010038
11/1/2000-768566,4710088410443
11/1/2000-1752878,4710868501019
11/1/2000-426541,4710583110015
11/1/2000-630849,4714981010038
11/1/2000-630849,4710985010272
11/1/2000-1848564,20546601
11/1/2000-1607000,4710012122121
11/1/2000-539166,4710088436498
11/1/2000-1849332,4710011405133
11/1/2000-1849332,4710085120628
11/1/2000-656818,4714125961004
11/1/2000-217361,4710011401128
11/1/2000-305167,4719090900058
11/1/2000-1789225,4710018008634
11/1/2000-2147239,4710088412201
11/1/2000-2007052,4710290004171
11/1/2000-663373,4716349008084
11/1/2000-1173741,4710088443328
11/1/2000-1674101,4710022102892
11/1/2000-663373,4710364142068
11/1/2000-663373,20411909
11/1/2000-1173741,4710088410207
11/1/2000-1104905,4711524000457
11/1/2000-1034561,4710134023276
11/1/2000-1849332,4710011409056
11/1/2000-760225,4711271000014
11/1/2000-219389,4710098162806
11/1/2000-1674101,4710088432674
11/1/2000-236645,4714617943044
11/1/2000-1607000,20549404
11/1/2000-1733204,4711713390031
11/1/2000-539166,4710357308303
11/1/2000-760225,4710057870148
11/1/2000-236645,4712500125010
11/1/2000-1674101,4710018031632
11/1/2000-1634518,4710109770402
11/1/2000-1981995,4710543310066
11/1/2000-1670981,4710011402019
11/1/2000-1717723,4710362020740
11/1/2000-1848618,2250062000090
11/1/2000-2144702,4711080040195
11/1/2000-1634518,4902704244567
11/1/2000-539166,4710998000406
11/1/2000-1104905,4901201906015
11/1/2000-308359,4719090106016
11/1/2000-1785111,4710585930666
11/1/2000-2147239,4710088490247
11/1/2000-2079127,8801019931536
11/1/2000-760225,4710008290025
11/1/2000-760225,4710088410139
11/1/2000-2084916,4710467221196
11/1/2000-75954,74603003171
11/1/2000-426541,4710094021497
11/1/2000-1327205,4710172030083
11/1/2000-1848564,20565909
11/1/2000-1034561,4713080000100
11/1/2000-1741797,4714981010038
11/1/2000-418683,4710011401128
11/1/2000-1173741,4710088443250
11/1/2000-1090673,4710731050101
11/1/2000-1849332,4710047512515
11/1/2000-1900309,4716702000052
11/1/2000-1660043,4710321791698
11/1/2000-1021172,4719090105002
11/1/2000-426541,4710038850527
11/1/2000-427203,4710011411417
11/1/2000-1104905,84501297329
11/1/2000-309448,4714981010038
11/1/2000-1849332,4710011406123
11/1/2000-426541,7038513912056
11/1/2000-45957,4710265849066
11/1/2000-539166,4711781730630
11/1/2000-1900309,4710247005299
11/1/2000-46855,4710088410139
11/1/2000-2117812,4710088434678
11/1/2000-1034561,4710176040354
11/1/2000-1327205,4710110221511
11/1/2000-1009903,4711634002570
11/1/2000-647236,4710096000049
11/1/2000-2147239,4710265796216
11/1/2000-1704129,4714981010038
11/1/2000-347877,4712147200606
11/1/2000-1849332,89782012029
11/1/2000-2007052,4710191020003
11/1/2000-2144511,4710176123798
11/1/2000-1660043,4712494211409
11/1/2000-2128030,28400017305
11/1/2000-841528,4710015102571
11/1/2000-1885958,4710943100410
11/1/2000-2033839,20556372
11/1/2000-439725,4714981010038
11/1/2000-2117812,4710126194328
11/1/2000-2147239,4714981010038
11/1/2000-1717723,4711811105155
11/1/2000-1660043,4710265849066
11/1/2000-2084916,4711207001023
11/1/2000-75954,4710088412218
11/1/2000-1021172,4714981010038
11/1/2000-1034561,20000102818
11/1/2000-1634518,4710088410610
11/1/2000-1849332,4710085172696
11/1/2000-2117812,4710126092822
11/1/2000-1849332,4710011432832
11/1/2000-841528,4712934010074
11/1/2000-1830439,20487546
11/1/2000-219389,4710626111450
11/1/2000-1847987,4710088411792
11/1/2000-236645,4719090301046
11/1/2000-1187366,20415723
11/1/2000-2014883,4719433000483
11/1/2000-2144702,4719090105002
11/1/2000-663373,20451066
11/1/2000-1187366,4710452110115
11/1/2000-1848564,20564124
11/1/2000-1849332,9310034370095
11/1/2000-663373,4710085172696
11/1/2000-1789225,4710088410610
11/1/2000-1104905,4710088410139
11/1/2000-539166,4711681000048
11/1/2000-2014883,4710931600144
11/1/2000-2117812,4710128030037
11/1/2000-2040677,4711587808953
11/1/2000-1057331,4711588251116
11/1/2000-1847987,4714706813043
11/1/2000-1674101,4710960911075
11/1/2000-2144702,4710823998557
11/1/2000-1327205,4711811105155
11/1/2000-427203,4710105010182
11/1/2000-2040677,4901005201248
11/1/2000-1906011,4710626110156
11/1/2000-217361,4710857000059
11/1/2000-340625,4710189810234
11/1/2000-2144702,4710063111389
11/1/2000-1187366,4710105010182
11/1/2000-1307719,4710063031144
11/1/2000-2144511,4710583920003
11/1/2000-1034561,37000329169
11/1/2000-219389,4710247006593
11/1/2000-1674101,4710176023098
11/1/2000-2144511,4719862470192
11/1/2000-2128030,4710105045313
11/1/2000-1057331,9310022530401
11/1/2000-539166,4710088432353
11/1/2000-1906011,4902704244567
11/1/2000-2040677,4710247005206
11/1/2000-2040677,4710046036906
11/1/2000-630849,4711080010112
11/1/2000-1104905,4711524000495
11/1/2000-1981995,40000015321
11/1/2000-1607000,4710363454001
11/1/2000-1656022,4710265847666
11/1/2000-308359,4719090106009
11/1/2000-2144702,4710011408011
11/1/2000-1327205,4710088434692
11/1/2000-1717723,4711634002297
11/1/2000-2144511,4710096000322
11/1/2000-1789225,4710105080123
11/1/2000-760225,4714981010038
11/1/2000-2128030,4710247001321
11/1/2000-2144511,4710110910149
11/1/2000-1187366,20000102818
11/1/2000-1607000,300410824105
11/1/2000-1173741,8851111202652
11/1/2000-2040677,4714617946069
11/1/2000-2014883,37000445111
11/1/2000-1849332,4901201101021
11/1/2000-1908015,40000015321
11/1/2000-75954,4710088411686
11/1/2000-217361,4710063413803
11/1/2000-2079127,4710010020054
11/1/2000-2091235,4712425010255
11/1/2000-627436,9415007002994
11/1/2000-1785111,4719090105002
11/1/2000-1327205,4710088410139
11/1/2000-340625,4710022201496
11/1/2000-1849332,4710126031890
11/1/2000-2084916,4710549000039
11/1/2000-1789225,4901411157719
11/1/2000-274975,4710126092822
11/1/2000-1660043,4710572001225
11/1/2000-2147239,4710199032985
11/1/2000-217361,4711606022063
11/1/2000-1004373,4710008290056
11/1/2000-1849332,4710304111147
11/1/2000-1846669,20069162
11/1/2000-1752878,4710088414069
11/1/2000-1670981,4710254011771
11/1/2000-1660043,4710572001218
11/1/2000-663373,4710085120628
11/1/2000-2091235,4712814168888
11/1/2000-1674101,4710088436498
11/1/2000-46855,4710063031878
11/1/2000-2079127,4710015103455
11/1/2000-1830439,4710943100403
11/1/2000-2144511,4710110815208
11/1/2000-1848434,4714981010038
11/1/2000-663373,4716349082039
11/1/2000-663373,4718433614829
11/1/2000-1034561,4710176042563
11/1/2000-1004373,4710088410139
11/1/2000-2079127,4710008290056
11/1/2000-1172829,4712500125058
11/1/2000-219389,79763251134
11/1/2000-1848618,4712076005013
11/1/2000-1849332,4711524000891
11/1/2000-2128030,4710085120628
11/1/2000-647236,4710088434692
11/1/2000-1849332,4713608210912
11/1/2000-1034561,4712277888866
11/1/2000-656818,4710098166804
11/1/2000-1173741,4710247006562
11/1/2000-190138,4710734000264
11/1/2000-760225,4710583920003
11/1/2000-1327205,4710254011610
11/1/2000-2040677,4710866000507
11/1/2000-217361,4710011412223
11/1/2000-539166,4710085120093
11/1/2000-308359,4719090105019
11/1/2000-647236,4897878020010
11/1/2000-663373,4716349081032
11/1/2000-663373,20411893
11/1/2000-841528,4710063312106
11/1/2000-1607000,4710076232019
11/1/2000-1900309,74603003102
11/1/2000-915397,4710088411440
11/1/2000-1487497,4712076005013
11/1/2000-1785111,4710585930628
11/1/2000-75954,4712789000077
11/1/2000-2014883,4710998000505
11/1/2000-1104905,4710018004704
11/1/2000-656818,4710736570031
11/1/2000-426541,4710036220094
11/1/2000-1785111,4711606080087
11/1/2000-760225,4710063031144
11/1/2000-217361,4711369000018
11/1/2000-1981995,4710088410139
11/1/2000-1634518,4902704881052
11/1/2000-539166,4712019100607
11/1/2000-647236,4710452110115
11/1/2000-1908015,4710175565131
11/1/2000-1034561,4710685440362
11/1/2000-1034561,4710094020568
11/1/2000-2033839,4714499720054
11/1/2000-1849332,4711524001041
11/1/2000-760225,4710154012144
11/1/2000-1009903,4710088442192
11/1/2000-663373,8999118053102
11/1/2000-2007052,4714981010038
11/1/2000-1830439,4710249002869
11/1/2000-1717723,4710011401135
11/1/2000-663373,4710265849066
11/1/2000-217361,4711811102079
11/1/2000-1660043,4710144202128
11/1/2000-1607000,4710168106044
11/1/2000-309448,4711185010017
11/1/2000-1849332,4710126092105
11/1/2000-2040677,4711587808946
11/1/2000-1849332,4710098166811
11/1/2000-1607000,4710036009354
11/1/2000-2014883,4710740600205
11/1/2000-1849332,4710199010778
11/1/2000-426541,4710892632017
11/1/2000-1090673,4710088414656
11/1/2000-630849,76150215281
11/1/2000-190138,4710172020077
11/1/2000-1607000,4710017052928
11/1/2000-1607000,4711713010557
11/1/2000-1674101,4710126020474
11/1/2000-2014883,4711634000460
11/1/2000-915397,4713423888846
11/1/2000-2004402,4710632001318
11/1/2000-1104905,4710857000066
11/1/2000-190138,4710734000318
11/1/2000-1830439,4710088410139
11/1/2000-1656022,4710046036579
11/1/2000-2147239,4710047502011
11/1/2000-1908015,4710110513265
11/1/2000-2128030,4710105045443
11/1/2000-1660043,4710515060029
11/1/2000-915397,4719854750158
11/1/2000-2147239,4710022235507
11/1/2000-308359,4719090105002
11/1/2000-1733204,4710043355437
11/1/2000-915397,4710088411433
11/1/2000-274975,4710175565131
11/1/2000-656818,4711022100017
11/1/2000-1660043,20565794
11/1/2000-1656022,4710172020015
11/1/2000-1906011,4710088410382
11/1/2000-1034561,4711239111714
11/1/2000-1327205,4710226001021
11/1/2000-1752878,4710320224340
11/1/2000-2144511,4710583910004
11/1/2000-1634518,4710265849066
11/1/2000-630849,4710176001812
11/1/2000-1656022,4710010050044
11/1/2000-1034561,4710097110334
11/1/2000-1634518,4711271000090
11/1/2000-1785111,4711606022063
11/1/2000-1307719,4710085120628
11/1/2000-1004373,4710110510523
11/1/2000-274975,4710626521716
11/1/2000-1634518,4710063011030
11/1/2000-630849,76150430530
11/1/2000-1847987,41333213019
11/1/2000-217361,4710857000028
11/1/2000-539166,4715874000150
11/1/2000-1090673,4710114128038
11/1/2000-1034561,4711634002792
11/1/2000-2144511,4710008290032
11/1/2000-768566,4710626111450
11/1/2000-1090673,4710852001013
11/1/2000-1704129,4710084212010
11/1/2000-1789225,4710191020003
11/1/2000-841528,4710154015206
11/1/2000-1660043,4711686006113
